phenotype,environment,method,threshold
harvest_grain_moisture,GRANEROS_2015_OPT,600K_SNP,6.55442101235355
grain_yield_15,BLOIS_2014_OPT,600K_SNP,6.50721919809349
harvest_grain_moisture,NERAC_2016_WD,600K_SNP,6.41318544670401
harvest_grain_moisture,SZEGED_2017_OPT,600K_SNP,8.24149070259894
harvest_grain_moisture,BLOIS_2017_OPT,600K_SNP,6.61614218766535
harvest_grain_moisture,STPAUL_2017_WD,600K_SNP,6.49905561340777
grain_yield_15,BLOIS_2017_OPT,600K_SNP,6.44795350970014
grain_yield_15,SZEGED_2017_OPT,600K_SNP,6.5184107575621
tkw_15,GRANEROS_2015_OPT,600K_SNP,6.47141013299928
tkw_15,NERAC_2016_WD,600K_SNP,6.33081189153082
tkw_15,BLOIS_2014_OPT,600K_SNP,6.64865017831138
tkw_15,BLOIS_2017_OPT,600K_SNP,6.57064541672509
grain_yield_15,STPAUL_2017_WD,600K_SNP,6.55562970226222
grain_yield_15,ALL,600K_SNP,6.41482857741456
tkw_15,SZEGED_2017_OPT,600K_SNP,6.57651961228481
tkw_15,ALL,600K_SNP,6.43929934144428
tkw_15,STPAUL_2017_WD,600K_SNP,6.42451061090626
female_flowering_d6,STPAUL_2017_WD,haplotype_probs,5.53175097651686
female_flowering_d6,NERAC_2016_WD,haplotype_probs,5.33499194971802
female_flowering_d6,ALL,haplotype_probs,5.84764670862611
female_flowering_d6,GRANEROS_2015_OPT,haplotype_probs,5.65252359815869
female_flowering_d6,BLOIS_2017_OPT,haplotype_probs,5.46501020001981
female_flowering_d6,BLOIS_2014_OPT,haplotype_probs,5.70410489023018
female_flowering_d6,SZEGED_2017_OPT,haplotype_probs,5.39504210632496
male_flowering_d6,BLOIS_2017_OPT,haplotype_probs,5.59627884336818
male_flowering_d6,GRANEROS_2015_OPT,haplotype_probs,5.58968316788458
male_flowering_d6,BLOIS_2014_OPT,haplotype_probs,5.64124996578727
female_flowering_days,NERAC_2016_WD,haplotype_probs,5.32400215959299
female_flowering_days,BLOIS_2014_OPT,haplotype_probs,5.776704812076
male_flowering_d6,ALL,haplotype_probs,5.90233906559636
female_flowering_days,GRANEROS_2015_OPT,haplotype_probs,5.66930582571043
male_flowering_d6,NERAC_2016_WD,haplotype_probs,5.5882822119945
male_flowering_d6,SZEGED_2017_OPT,haplotype_probs,5.45777941878674
male_flowering_d6,STPAUL_2017_WD,haplotype_probs,5.42774521953625
male_flowering_days,BLOIS_2014_OPT,haplotype_probs,5.63385821216949
female_flowering_days,ALL,haplotype_probs,5.63334796997555
male_flowering_days,GRANEROS_2015_OPT,haplotype_probs,5.60713226603397
total_plant_height,GRANEROS_2015_OPT,haplotype_probs,5.42105415554113
total_plant_height,BLOIS_2017_OPT,haplotype_probs,5.41954759774796
total_plant_height,STPAUL_2017_WD,haplotype_probs,5.33042686874221
total_plant_height,SZEGED_2017_OPT,haplotype_probs,5.42753794192598
total_plant_height,BLOIS_2014_OPT,haplotype_probs,5.69918185376027
total_plant_height,ALL,haplotype_probs,5.46074857799089
male_flowering_days,NERAC_2016_WD,haplotype_probs,5.58710027692848
male_flowering_days,ALL,haplotype_probs,5.67437067786191
harvest_grain_moisture,BLOIS_2014_OPT,haplotype_probs,5.40910469678497
total_plant_height,NERAC_2016_WD,haplotype_probs,5.40250702297048
harvest_grain_moisture,ALL,haplotype_probs,5.43634355952154
harvest_grain_moisture,BLOIS_2017_OPT,haplotype_probs,5.43986449016309
harvest_grain_moisture,SZEGED_2017_OPT,haplotype_probs,7.38095054087371
harvest_grain_moisture,STPAUL_2017_WD,haplotype_probs,5.44934424091764
grain_yield_15,BLOIS_2014_OPT,haplotype_probs,5.37846305384246
grain_yield_15,BLOIS_2017_OPT,haplotype_probs,5.42896819178538
grain_yield_15,GRANEROS_2015_OPT,haplotype_probs,5.58917161578655
harvest_grain_moisture,NERAC_2016_WD,haplotype_probs,5.58587445601446
harvest_grain_moisture,GRANEROS_2015_OPT,haplotype_probs,5.47997510063925
grain_yield_15,NERAC_2016_WD,haplotype_probs,5.50802320993402
tkw_15,NERAC_2016_WD,haplotype_probs,5.39621070820779
tkw_15,GRANEROS_2015_OPT,haplotype_probs,5.52522015040559
tkw_15,BLOIS_2017_OPT,haplotype_probs,5.63112904809971
tkw_15,SZEGED_2017_OPT,haplotype_probs,5.54161491352146
tkw_15,STPAUL_2017_WD,haplotype_probs,5.54015103852185
grain_yield_15,SZEGED_2017_OPT,haplotype_probs,5.49730768801087
grain_yield_15,ALL,haplotype_probs,5.4117161209299
tkw_15,BLOIS_2014_OPT,haplotype_probs,6.18550945409935
grain_yield_15,STPAUL_2017_WD,haplotype_probs,5.38955333865907
tkw_15,ALL,haplotype_probs,5.47517381847976
male_flowering_d6,BLOIS_2014_OPT,600K_SNP,6.4594358872151
